Pattern #,Name,Type,Standard Pattern,Run Queue Order,Grid Spacing(μm),Raster Spacing(μm),Depth Per Pass(μm),Dwell Time(sec),Intersite Pause(sec),Fluence Enabled,Energy(%),Fluence(J/cm²),Pass Enabled,Pass Count,Scan Speed(μm/sec),Rep Rate(Hz),Spot Size(μm),Burst Mode,Burst Count,Use IVA,Use XYR,XYR-X(μm),XYR-Y(μm),Overlap,XYR-Auto,Has Data,X(um),Y(um),Z(um)
1,S-FWS-24-01.1,Spot,FALSE,0,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,24030.969,63473.201,1763.13
2,S-FWS-24-01.2,Spot,FALSE,1,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,24431.676,63439.221,1763.13
3,S-FWS-24-01.3,Spot,FALSE,2,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,24806.559,63597.806,1763.13
4,S-FWS-24-01.4,Spot,FALSE,3,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,25124.883,63612.51,1787.5
5,S-FWS-24-01.5,Spot,FALSE,4,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,25428.305,63540.619,1787.5
6,S-FWS-24-01.6,Spot,FALSE,5,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,25803.93,63635.257,1787.5
7,S-FWS-24-01.7,Spot,FALSE,6,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,26089.324,63599.928,1783.13
8,S-FWS-24-01.8,Spot,FALSE,7,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,26367.68,63578.596,1783.13
9,S-FWS-24-01.9,Spot,FALSE,8,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,26625.031,63601.014,1783.13
10,S-FWS-24-01.10,Spot,FALSE,9,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,26977.391,63631.112,1783.13
11,S-FWS-24-01.11,Spot,FALSE,10,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,27344.324,63602.346,1739.06
12,S-FWS-24-01.12,Spot,FALSE,11,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,27648.074,63572.412,1739.06
13,S-FWS-24-01.13,Spot,FALSE,12,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,27974.669,63504.482,1739.06
14,S-FWS-24-01.14,Spot,FALSE,13,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,28363.469,63541.408,1739.06
15,S-FWS-24-01.15,Spot,FALSE,14,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,28731.906,63516.885,1739.06
16,S-FWS-24-01.16,Spot,FALSE,15,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,29092.762,63576.408,1739.06
17,S-FWS-24-01.17,Spot,FALSE,16,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,29569.581,63543.731,1739.06
18,S-FWS-24-01.18,Spot,FALSE,17,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,29489.242,63964.056,1739.06
19,S-FWS-24-01.19,Spot,FALSE,18,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,29093.156,63976.408,1766.56
20,S-FWS-24-01.20,Spot,FALSE,19,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,28700.344,64061.688,1766.56
21,S-FWS-24-01.21,Spot,FALSE,20,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,28345.116,63958.959,1766.56
22,S-FWS-24-01.22,Spot,FALSE,21,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,27997.072,63918.333,1766.56
23,S-FWS-24-01.23,Spot,FALSE,22,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,27641.446,63846.079,1766.56
24,S-FWS-24-01.24,Spot,FALSE,23,45,45,0,0,5,FALSE,40,0,TRUE,1,70,8,25,TRUE,240,TRUE,FALSE,25,25,0,FALSE,FALSE,27306.449,63857.495,1766.56
